"","Time","GDP_2011","Ex_2011","Im_2011","Inv_current","Inv_index","Budget_in","Tax_pi","Tax_ndfl","Tax_nds","Tax_ndpi","Insurance","Budget_out","Out_general","Out_defense","Out_economy","Out_educ","Out_soc","Brent","IPC","Budget_in_r","Tax_pi_r","Tax_ndfl_r","Tax_nds_r","Tax_ndpi_r","Insurance_r","Budget_out_r","Out_general_r","Out_defense_r","Out_economy_r","Out_educ_r","Out_soc_r","INDEXDefl"
"19","2008q02",15034.453981134,4430.23052951025,3377.74466592093,1991.5,156.2,4209427252961.48,662620459589.21,411523852605.07,341577094941.65,462002294300.58,565473361697.8,3179670303330.05,274667208718.79,241598146951.2,421348153807.57,461530948062.71,857502419334.38,127.093333333333,1.03847796,5397155172650.05,849584807163.405,527639024571.273,437956157462.065,592360414521.074,725026778152.762,4076842998739.57,352167042499.911,309767246269.185,540235341092.824,591756073684.909,1099454472057.8,77.9934450336475
"20","2008q03",15815.2232523672,4194.64359975396,3062.18030158229,2369,175.6,4635222994333.8,783257558477.1,453790899820.51,365302775593.09,525920196114.9,537029034373.62,3225959665213.98,302018725151.68,202504120083.06,469776257435.24,340763716478.02,906645592711.5,112.696666666667,1.01709216,5843219780900.08,987384223979.646,572054454654.075,460505224230.325,662981543039.034,676985482770.849,4066684893306.49,380728562825.522,255279213455.224,592205795362.674,429570980980.08,1142928715203.95,79.3265214751138
"21","2008q04",15462.4213739527,3962.58984830883,2502.12514793732,3106.5,223.7,3824486084001.63,497843605560.47,478303672408.95,198142203276.3,328273188688.18,559976479221.24,5247730712594.68,435217302176.15,423133903070.82,1089281256496.64,601009348398.42,1110380469171.75,54.8933333333333,1.024191504,4707317650290.96,612764157083.097,588713691167.056,243880686257.89,404050672767.073,689239575328.21,6459099305055.91,535681407448.66,520808716939.478,1340727295697.9,739744334680.797,1366696980003.53,81.2455493366851
"22","2009q01",12454.795473596,3380.61513603614,1733.75469383051,1224.3,88.2,3033505928467.82,355253806948.57,338739423689.27,328964529477.06,181620219805.92,471799914031.3,2807065484319.08,274573397788.89,220643855710.61,392919453466.86,309904174129.67,863351199632.41,46.8166666666667,1.054946304,3539279932134.83,414484988457.774,395217175359.83,383812520897.365,211901612980.754,550462734238.771,3275085254854.56,320352799568.495,257431628313.925,458430597926.354,361574247832.756,1007297050771.51,85.7096919891856
"23","2009q02",13357.9014889948,4042.36094244806,2053.49966002243,1722.1,123.7,3009150587050.2,273674632594.92,401096822140.94,224641804062.11,230941419387.72,574775134076.29,3812605411224.92,293204653241,306622014459.15,641562704890.15,507180589982.12,1110140665701.42,61.9533333333333,1.019120252,3444994677851.96,313313549946.599,459191515215.394,257178827389.844,264390876319.079,658025319960.976,4364821556934.71,335672290474.117,351033016582.762,734486374117.111,580640410857.934,1270932967418.37,87.3484828988612
"24","2009q03",14452.1453089978,4104.1742382047,2029.19978497119,2061,144.6,3512340778128.3,307980643831.42,436232970038.05,335996777013.29,317629920170.29,521124535291.49,3884219872474.83,315551895902.54,230468848536.4,765864064604.25,358552988324.71,1128543215542.53,69.92,1.006,3997084216825.36,350485516158.34,496438138991.491,382368198059.554,361466503651.938,593045716971.708,4420286904854.95,359101688126.484,262276201298.913,871562117185.755,408037426052.944,1284295163766.6,87.8725737962544
"25","2009q04",15062.3437233283,4272.22892063704,2157.18932397168,2968.6,203.1,3865673122152.18,327735189235.86,489753418474.28,287305647325.12,323645691851.71,553389997491.02,5343452419136.86,407228541341.23,433455053071.41,981934464271.45,602234309837.14,1444087594752.5,77.1266666666667,1.007012,4368548229413.08,370369385980.461,553464134580.956,324680472782.386,365747896787.714,625379026452.287,6038567894115.49,460203816263.766,489842064962.552,1109671700049.1,680577365130.686,1631945098777.82,88.4887362837137
"26","2010q01",12961.7597119561,4001.55462905362,1932.36236682162,1242.6,83.9,3463148838427.33,386576355968.85,358801230283.68,407135129452.07,330532026853.8,456627580300.1,3220746674121.26,296966373321.8,273402172892.1,376109435373.58,335024527574.4,1191824956927.97,77.1266666666667,1.031294864,3794899763113.16,423608279671.148,393172447195.939,446136472440.593,362195207000.809,500370032348.567,3529276782750.31,325414145435.124,299592622075.699,412138684704.057,367118064988.089,1305995340579.18,91.2579792512444
"27","2010q02",14025.7892159448,4231.81629648549,2501.1979313284,1962.5,130.5,4140340709508.99,548747618381.68,435337823473.29,240433800408.36,346829686196.26,625199210419.99,4110451765679.11,318209343580.76,289795454860.94,414850967407.78,525519551609.64,1521249533803.47,78.87,1.01204706,4482956506142.34,594156828785.717,471362302050.953,260329848546.453,375530060771.549,676934838128.269,4450594233420.16,344541366811.773,313776210937.336,449180145766.483,569006624885.427,1647133889094.61,92.3573696027629
"28","2010q03",15005.1069887013,4176.01317793063,2731.82488275059,2361.1,152.2,3815920496695.29,406929565586.53,447377558756.39,332745316436.9,347884305955.43,574731496043.75,3978560319198.26,348733377571.43,221622901510.73,547885525358.06,375968565062.04,1408880891077.57,78.2633333333333,1.018104192,4058219531193.13,432768322168.495,475784636586.379,353873604873.769,369973872947.968,611225151167.723,4231186474504.17,370876857959.951,235695263632.835,582674545182.914,399841394801.277,1498340427754.55,94.0294251546663
