"","Time","GDP_2011","Ex_2011","Im_2011","Inv_current","Inv_index","Budget_in","Tax_pi","Tax_ndfl","Tax_nds","Tax_ndpi","Insurance","Budget_out","Out_general","Out_defense","Out_economy","Out_educ","Out_soc","Brent","IPC","Budget_in_r","Tax_pi_r","Tax_ndfl_r","Tax_nds_r","Tax_ndpi_r","Insurance_r","Budget_out_r","Out_general_r","Out_defense_r","Out_economy_r","Out_educ_r","Out_soc_r","INDEXDefl"
"1","2003q04",10954.0773974714,3228.0670487982,1198.84269605368,603.169006819034,NA,1073293347666.93,186215184528.164,124564606204.452,248813650944.734,99912233006.7338,NA,903634928157.77,41149062229.2977,97592614919.0123,69728477948.5765,130387973961.063,29300420889.7865,29.06,1.0282308525342,2254476452711.42,370983270974.311,261441510611.037,502332838331.464,211398270579.543,NA,2046116421837.02,103826474243.985,204460615396.386,147151503336.104,273934749306.568,148957085345.346,47.7886734053545
"2","2004q01",11164.6687661776,3326.33517197766,1285.64555266879,650.133766931962,NA,1164788244339.39,194621183870.542,132873203260.546,265517830668.612,108732425158.092,NA,1058218407146.76,38549450029.616,102094326157.37,78873433247.0048,138402040297.848,90493215077.4254,31.62666667,1.02420520856061,2363150897333.66,372590611187.75,272631910312.82,516067944452.727,224487135806.727,NA,2180196992374.16,99418815703.6111,209153025651.606,161709511616.196,283518971805.715,206488161821.97,48.7100833175791
"3","2004q02",11342.2466213206,3364.08688794246,1361.81507298678,690.631972947014,NA,1305659084705.35,218369410497.647,137969846313.938,281536648121.324,119435561157.96,NA,1104074085995.58,55147139792.6684,106686088950.614,91990287293.5204,144400688456.965,74673747073.8267,35.20333333,1.03021374342719,2598270869237.8,416754655669.995,275272200480.6,547520088921.058,240736635807.307,NA,2215434946208.02,120836340466.75,212738432140.132,183176103684.433,287392424528.903,161982735721.387,50.0049241371757
"4","2004q03",11510.0052641007,3427.60826382315,1429.62342680157,734.740347599862,NA,1432996384707.36,244707567367.379,145676398038.558,291820948649.458,135812937623.886,NA,1185048625528.86,60625849213.6958,112376948147.71,108860798509.373,150632681740.095,114898029023.025,42.67,1.03122963487555,2764089620634.62,457482564701.836,282055208994.433,562963798514.32,261822770444.862,NA,2265203539821.46,139197658774.203,217565314772.981,210304400684.467,291498761506.404,191817292236.999,51.6192217392507
"5","2004q04",11620.2314144568,3475.52538905809,1488.1893559844,776.219422754902,NA,1597150500354.02,273959401336.594,152519977329.25,306646409189.261,153130883897.519,NA,1245814471731.24,80504252178.9275,118087091628.669,130101124578.801,159812983870.497,101838972490.363,44.35,1.03104843864533,2899085728597.11,483874939133.795,286024443072.175,575661237985.469,292129229529.289,NA,2347239772463.51,161520404507.005,220935602353.475,244022129729.011,300172157822.27,224185774450.574,53.4502039841962
"6","2005q01",11820.1010177284,3481.49138664646,1542.89257058351,822.933429145563,NA,1722774756746.92,310810076829.563,158952339068.809,297599339567.013,180228335613.545,48763304799.3625,1339052183151.51,150472645975.381,128124415900.999,159832425647.26,173009011321.609,93498208413.0682,49.68666667,1.03413449007382,3195698966486.92,580115178469.515,289072373008.173,549467888684.995,331451095397.195,28940494119.7928,2427690216662.76,262748391853.371,232416884955.2,291065020854.966,314530389538.505,183252605379.985,55.2143712992954
"7","2005q02",12018.8460309631,3609.89769043092,1585.0776066078,865.056983805033,NA,1696420351901.4,322223720314.786,170308232210.3,256409894722.975,203943406652.007,6780260322.39163,1317187813422.96,171014518642.849,140510125937.938,176091565172.488,186986360832.45,81218619902.5654,51.33666667,1.02790242915345,3083777426113.09,533717103756.572,300652061440.927,457002344506.448,368653540296.766,15409190059.4032,2392469366988.71,273322333062.235,248273662251.446,312104725682.351,330593675041.043,120716256475.241,56.6251031539876
"8","2005q03",12215.6442213682,3646.04164213391,1697.68603967158,924.701397207388,NA,2062340660782.5,338210759759.194,180483820367.064,222744712075.412,238058181965.944,104962530727.383,1714679522453.93,196633340625.119,152829955848.78,202156466688.286,200429264318.041,158255430708.063,62.98,1.02325046086646,3406807046654.01,574575760799.73,311246147733.001,385205860929.943,411868263701.958,148746554222.122,2860146641337.18,336408267534.277,263454442795.26,348559660170.166,346233578280.791,286689601610.341,57.8759376666496
"9","2005q04",12468.3417201899,3725.81191517165,1766.43037973258,972.24484008735,NA,2047122560940.07,358949141696.065,194118509089.03,223726685774.665,258997017219.457,139286522075.695,1588817095013.71,201853435200.378,163734445577.653,202564232944.661,213252792275.275,227809676614.296,56.87666667,1.0234265592045,3608790224027.25,594990296617.797,327717955468.184,378529629306.895,441247867429.427,234714540853.74,2734369892234.42,317862963160.142,276065771964.052,342465952960.007,359612764927.012,331644619509.05,59.2858080172649
"10","2006q01",12725.5675999423,3827.79143586771,1846.08970935032,1043.81841310843,NA,2341646053689.96,369663935004.131,207204675505.073,228086680482.686,282289172926.745,186765257830.48,1827464613696.48,186556523911.066,170026514703.98,217763307994.59,226994971061.393,324923591053.486,63.47333333,1.02529395300154,3775066457051.97,581914927446.159,340112625672.626,375378239757.912,459969500320.782,326885529949.265,3000345870106.27,327224581962.048,280181078048.098,357757988970.182,373439511959.06,510180811222.578,60.8390410811648
