"","Time","GDP_2011","Ex_2011","Im_2011","Inv_current","Inv_index","Budget_in","Tax_pi","Tax_ndfl","Tax_nds","Tax_ndpi","Insurance","Budget_out","Out_general","Out_defense","Out_economy","Out_educ","Out_soc","Brent","IPC","Budget_in_r","Tax_pi_r","Tax_ndfl_r","Tax_nds_r","Tax_ndpi_r","Insurance_r","Budget_out_r","Out_general_r","Out_defense_r","Out_economy_r","Out_educ_r","Out_soc_r","INDEXDefl"
"18","2008q01",15117.6364555144,4293.15054843426,2926.04665635749,2096.05324253617,172.704885019983,3861347090696.34,5.69449e+11,380471397706.369,198359202095.703,416620252463.522,507542602167.821,3203676532230.35,305895152796.448,231397696741.618,465390020350.649,377913083197.447,827743387561.178,97.51,1.03339418284241,5155823967589.79,758217999999.999,508738941808.185,1.24706e+11,541802179632.926,680770058967.623,4088286987530.14,412948870456.846,311456761064.461,647021666710.276,500629912037.508,1098860447559.41,74.511539625998
"19","2008q02",15274.5321518947,4216.32272356222,3003.28577951144,2188.0874686493,174.550034788759,4236428300469.27,6.6262e+11,415832127531.948,332714104271.762,449234023063.43,529304656524.597,3394296229128.37,310445800988.419,243209744118.867,501984195112.399,400780802838.953,851133776397.376,127.0933333,1.04285863046205,5375221912668.54,849584999999.999,533427335525.335,4.37956e+11,593258982731.996,684435232731.645,4123815841109.21,398697496564.798,316377483130.04,646091290556.801,523151833988.781,1109453270300.94,77.6747418170131
"20","2008q03",15125.5221256046,4209.43697299647,2881.91881483438,2188.47152191693,168.769413713681,4662890965534.99,7.83258e+11,447837567558.899,331314281058.982,502335238784.264,540813280742.61,3534209219916.82,319738261319.548,258476449013.282,500065687421.015,420360176470.241,924137205446.551,112.6966667,1.02739817954471,5304634465737.68,987384000000.001,553934200288.557,4.60505e+11,638426864628.823,677841634746.637,4221738052412.38,396565698938.654,326215066300.502,634105321373.475,526671012677.149,1156485633468.69,79.7974867850893
"21","2008q04",14454.9666589926,3789.59420182323,2543.06836243896,2146.21258479829,158.06504274416,3303870127091.23,497843999999.999,412435377969.566,206624143394.067,333543046281.852,531765049556.332,3800837647818.03,333778297777.252,286743599729.451,666097556878.839,432608696981.787,980796764726.955,54.89333333,1.02379168102509,4310647453302.39,612764000000.001,512276898943.146,2.43881e+11,396282601392.072,646607110597.159,4948920398205.01,419796768113.899,343853941142.591,803423765861.774,526985896152.153,1175006000142.5,81.7381656757061
"22","2009q01",13774.0486451286,3718.76219823038,2131.67168906473,2058.108574732,147.718336399851,3461130660269.57,3.55254e+11,397906233385.698,319220965478.198,193120091880.953,539407504851.984,3791800827849.93,323203029535.352,290967416978.162,670612845590.832,437523338251.872,1004850778306.27,46.81666667,1.04054696307839,4117322880250.91,414484999999.999,469336456221.446,3.83813e+11,241103683465.727,637024394872.271,4330126346932.59,376874795151.287,346982809483.508,816961564901.086,519551587330.918,1191214934961.93,85.0402887026959
"23","2009q02",13658.8595165173,3918.99080761427,1925.02659802319,1978.07572249985,139.456343483632,2917225390626.1,2.73675e+11,412479344918.049,240424654253.014,224563913387.545,525755871106.274,3962765340880.06,326186799931.844,312772006124.2,764358827579.85,442834895381.602,1079256734698.03,61.95333333,1.02341893729496,3630836613977.24,3.13314e+11,473532502160.342,2.57179e+11,276531580995.663,607067744991.344,4456214688689.79,377078844885.534,358780373972.354,878432099266.275,506826263315.516,1275158770300.63,87.0001549887001
"24","2009q03",13838.0099594742,4084.53470409028,1894.81010851825,1985.19198182161,139.215789548543,3612309435525.01,3.07981e+11,433985070401.625,308969799340.048,303389825480.113,525578311047.152,4125391484041.96,327215742804.97,320746104417.398,815235760727.129,445345128203.394,1147833217370.01,69.92,1.01619014842992,3830161382257.14,3.50486e+11,478234429660.648,3.82368e+11,338212802788.227,596308619613.894,4588877135412.32,371385609358.321,362970983543.408,933209281971.881,506600498936.305,1323223528137.69,88.3873798512201
"25","2009q04",14001.0968303425,4091.06359232003,2063.83935376198,2001.61607052204,139.241778804091,3625637453917.23,3.27735e+11,414751922603.172,303734371457.183,328834249686.13,530083494766.123,3968566494306.25,324556169825.886,323456919487.169,600452233696.713,445967697933.227,1299416095377.94,77.12666667,1.00661747776303,4040779861845.08,370368999999.999,476018032026.851,3.2468e+11,350866180109.046,593424718502.642,4545254668410.75,350387180829.719,359728356098.933,664958409417.955,497508325555.422,1401919771753.68,89.0125593820994
"26","2010q01",14301.3769821884,4255.80610130635,2257.50913985934,2079.30108027321,142.787580404235,3750316018822.81,3.86576e+11,426202391318.444,366040189965.007,351455076357.018,542862881223.749,4211826154835.13,348165588208.654,317614111926.114,641919931926.879,456007499159.453,1357564376907.69,77.12666667,1.01722376823169,4038646882900.92,423608000000.001,473995008929.248,4.46136e+11,368687944220.38,597773763345.276,4607535864948.19,393358263102.188,349369862701.086,734458403597.404,500463258234.131,1467559339353.61,90.5541440618505
"27","2010q02",14382.1098577919,4172.17461697537,2392.80238772173,2177.99867207036,146.285605756315,3846702238824.36,548748000000.001,440829471128.974,260424484931.066,337256038670.342,556640134374.01,4255201996929.82,346877043106.408,313013172252.711,494262909251.12,461624628910.368,1477532191072.22,78.87,1.01631583976413,4336136727892.4,5.94157e+11,475105751803.839,2.6033e+11,375030397849.947,605433327709.773,4592760141711.54,376342138892.104,340327866454.264,537228882368.568,505677671328.553,1676529803562.19,92.0033127346102
"28","2010q03",14402.1823640628,4202.10626648289,2594.4593182924,2251.36683899894,147.194423544013,3987945109829.83,406929999999.999,451625502755.917,322736723148.897,332295299528.757,576159522425.984,4303715825124.44,352458647609.21,327269453274.257,583197541324.742,471445514752.456,1455608494106.92,78.26333333,1.02841329341345,4164154776158.18,4.32768e+11,475194397969.505,3.53874e+11,378472679928.352,609077490592.484,4509535087077.19,379551027222.297,341990938312.217,623884023489.343,498624624363.319,1539114004882.5,94.5756484839036
"29","2010q04",14663.9804066883,4228.69974143989,2714.14647934173,2373.96941179782,151.082750089651,4246356259449.93,4.32318e+11,462739654763.284,370742032372.948,387170859154.281,590702532101.708,4436951076037.13,349429559371.636,326938207803.627,602343585647.818,485356765777.047,1554912935077.93,84.355,1.02378001748944,4385782018623.79,4.48912e+11,477774474169.086,3.6216e+11,409239484674.702,610672190201.343,4606150257552.3,367103960322.035,336963742569.911,612916974167.685,504827107683.052,1573435048014.94,96.8554848134608
"30","2011q01",14761.5734709461,4172.60662398185,2840.07384599672,2465.32353562777,152.481143030463,4726700547335.47,560800999999.999,474068330888.102,386910150925.809,468457248725.636,838493984312.229,4592223378596.79,333029180279.5,332769221720.685,593438961917.675,496125018232.973,1579982353185.02,109.9433333,1.02422309846466,4738267440835.91,560800999999.999,480384832366.735,4.31185e+11,439259392140.647,845154395834.178,4577711551447.15,324155340667.533,339857262751.224,619625500669.71,501134700101.249,1581119571562.07,99.2367803757128
"31","2011q02",14893.2712573842,4260.53707740392,2994.71659503257,2601.37871523931,158.235262306309,5072460133373.43,691352999999.999,489817320837.937,455049986151.437,508608384534.493,875184489840.793,4831399274623.75,341344042334.046,372424424286.593,657099965196.529,537109083238.686,1574215667606.55,111.3933333,1.01530233351606,5028372936217.84,6.83805e+11,485727826273.461,4.52981e+11,497836806568.706,868665756912.666,4766566393845.49,339806364405.505,366406905310.322,652444406093.051,532709083150.447,1595782771681.58,100.728485232784
"32","2011q03",15143.5913627907,4206.43165934441,3015.5754227652,2737.16994242863,164.765031196453,5375939139482.22,520565999999.999,502751961232.437,454313484157.531,492651408816.355,891223234006.285,5096223831854.98,344179683555.195,394852426377.274,660880555178.476,572242040030.295,1658552501990.44,108.9266667,1.0081022499502,5304344780429.41,515913999999.999,495265071936.131,4.47868e+11,522238701159.349,880063426720.908,5000934434096.3,336330846552.09,386685596035.024,658843030160.65,560830948033.79,1632370128028.73,101.482295986726
"33","2011q04",15377.2803571568,4234.97955421872,3105.05788351002,2869.95095960086,170.101268286052,5469237789729.05,497826000000.001,520526553411.565,454306775884.841,572188471946.92,908353196525.434,5429998090825.56,355427046951.215,414356270897.65,778877469158.952,623844595739.876,1694130120709.45,119,1.0126549364898,5340131592903.58,487019000000.001,509257731987.619,4.03549e+11,558071164439.08,885825805026.229,5211496216446.82,351779241644.476,405334915355.528,746666409797.945,611230669799.585,1649607063078.19,102.787283696125
"34","2012q01",15569.392412779,4301.40773535991,3182.57592362486,2976.952381936,173.457587940475,5583733920452.03,568809999999.999,539677755353.028,482736531335.368,651432681874.882,928981182944.46,5526599451053.8,360257915857.816,449081086503.676,761907340063.302,647666169789.83,1756931692163.16,106.22,1.00123570820201,5364032567224.14,548199000000.001,519900638135.654,4.47999e+11,576321837160.953,895177445715.798,5354050579152.75,350032140823.346,428636176405.523,766697221893.758,624765111215.985,1693742241846.18,102.979299906533
"35","2012q02",15572.9682756987,4213.31994928047,3227.21821827584,3060.39379541366,174.618302628359,5760560811916.16,728872000000.001,553407790764.533,498072527868.424,617020810153.467,946823771688.151,5702850265815,361663079649.384,447278229541.304,844436420459.336,654871615805.19,1819919342273.91,106.22,1.02137667913576,5465400724453.62,690658999999.999,526714252027.535,4.86787e+11,587875806601.578,899347183724.449,5403431311505.44,347037385134.517,425617648928.113,803275932092.264,619149476519.493,1724719647395.71,105.155696081042
"36","2012q03",15636.8817208289,4251.86132809995,3327.72724886769,3141.49563271811,175.408577451267,5690484573976.38,4.33891e+11,570882364791.361,485160688883.971,564307554024.223,974755960918.619,5755579982525.88,357678500708.31,436356871835.991,807049706049.272,665744644578.956,1876978341350.46,110.56,1.02940251597076,5276749814721.05,4.03442e+11,532382103699.846,4.27552e+11,565656072519.614,905902017316.825,5342198845050.43,329328825358.354,415728421007.349,754851425810.799,622868368842.383,1739599336826.7,108.162370285172
"37","2012q04",15640.4800635806,4322.45948842017,3394.21976907457,3180.7811794167,175.121561390986,5949413260585.12,624128999999.999,585745317749.609,480176439447.37,631377429185.51,1012011754217.58,5835736327159.65,360507713510.52,462480068040.386,830183944073.519,663916754573.526,1919937026386.09,110.2266667,1.01265171735918,5464095687582.52,5.7285e+11,536627250879.529,4.11249e+11,571435418949.634,928214694809.314,5350361005860.03,327808956434.559,425473577709.237,746657245061.825,598779485459.01,1760661444191.93,109.538217307166
"38","2013q01",15798.4004134008,4343.57583519223,3410.51213635675,3253.58620088576,176.223868921438,5885717814690.42,548454000000.001,600512604010.401,441888822677.309,672256326665.897,1054437271752.12,6059204500823.83,365473955515.169,477778704466.128,875755562096.004,711926331252.773,1941083323239.63,111.8166667,1.00521971989645,5277762308824.24,4.93955e+11,543069875014.154,4.46051e+11,563374125346.821,950443706363.988,5469238923591.63,327528665513.79,433554962001.613,823530278616.727,647908522061.788,1781673830195.06,110.201789424931
"39","2013q02",15847.0506595172,4433.17226535183,3425.78437969843,3286.8277363616,176.416497982864,5878224477739.37,4.469e+11,616851923657.318,462534806329.358,602447468635.45,1089115226829.2,6106655358035.48,377289446744.727,501264427113.45,732624926330.115,709454560991.401,2039791203876.98,101.13,1.02036872598338,5225900029738.8,3.96121e+11,547755695129.307,4.28651e+11,551766373950.131,967429508497.722,5414367398367.12,334650409431.626,447645131108.157,651914261564.84,630412955827.168,1791495413224.98,112.429223404312
