Time;GDP_2011;Ex_2011;Im_2011;Inv_current;Inv_index;Budget_in;Tax_pi;Tax_ndfl;Tax_nds;Tax_ndpi;Insurance;Budget_out;Out_general;Out_defense;Out_economy;Out_educ;Out_soc;Brent;IPC;Budget_in_r;Tax_pi_r;Tax_ndfl_r;Tax_nds_r;Tax_ndpi_r;Insurance_r;Budget_out_r;Out_general_r;Out_defense_r;Out_economy_r;Out_educ_r;Out_soc_r;INDEXDefl
2014q03;16690.2;4509.3;3527.5;3493.2;177.9;6.55025E+12;6.46259E+11;6.63786E+11;5.0298E+11;7.21498E+11;1.16725E+12;6.09552E+12;3.72272E+11;4.07761E+11;8.16719E+11;6.11263E+11;2.14683E+12;101.1433333;1.01405907;5.31323E+12;5.24212E+11;5.38429E+11;4.07991E+11;5.85242E+11;9.46812E+11;4.94437E+12;3.01968E+11;3.30755E+11;6.62481E+11;4.95825E+11;1.7414E+12;123.281908
2014q04;17437.2;4562;3141.7;5540.3;263.4;7.14964E+12;5.7072E+11;8.35993E+11;5.20174E+11;6.98956E+11;1.30522E+12;9.53685E+12;5.66656E+11;6.58099E+11;2.42683E+12;9.1544E+11;2.5845E+12;70.61333333;1.047652704;5.53563E+12;4.41882E+11;6.4727E+11;4.02746E+11;5.41169E+11;1.01057E+12;7.38394E+12;4.38735E+11;5.09536E+11;1.87898E+12;7.08783E+11;2.00106E+12;129.1566243
2015q01;14086;4552.3;2117.3;1960.7;91.7;6.04456E+12;6.33135E+11;5.70223E+11;6.79984E+11;7.86567E+11;1.10496E+12;6.49184E+12;3.32932E+11;1.45281E+12;5.93595E+11;6.37694E+11;2.01396E+12;56.84333333;1.074600296;4.35513E+12;4.56176E+11;4.10848E+11;4.89931E+11;5.66725E+11;7.96129E+11;4.67739E+12;2.39879E+11;1.04676E+12;4.27687E+11;4.59461E+11;1.45107E+12;138.7917467
2015q02;15054.7;4634.7;2169.4;2977.6;138.2;6.70408E+12;8.68765E+11;6.75207E+11;6.23717E+11;8.74137E+11;1.38028E+12;7.13965E+12;4.28091E+11;4.59879E+11;7.00744E+11;9.17431E+11;2.90752E+12;65.04333333;1.01103804;4.77758E+12;6.19115E+11;4.81178E+11;4.44484E+11;6.22943E+11;9.83637E+11;5.08798E+12;3.05074E+11;3.27727E+11;4.99377E+11;6.53796E+11;2.07201E+12;140.3237356
2015q03;16245.4;4467.3;2626.7;3428.7;153.4;6.74755E+12;5.92353E+11;7.07745E+11;5.96579E+11;8.20038E+11;1.32624E+12;6.61654E+12;4.22127E+11;3.96787E+11;1.00026E+12;6.16423E+11;2.38634E+12;51.13666667;1.018104192;4.72305E+12;4.14627E+11;4.95397E+11;4.17585E+11;5.73998E+11;9.28322E+11;4.63135E+12;2.95474E+11;2.77737E+11;7.00147E+11;4.31475E+11;1.67035E+12;142.8641834
2015q04;16873.5;4975.3;2469.9;5530.2;238.9;6.9979E+12;5.0473E+11;8.54621E+11;5.48262E+11;7.46088E+11;1.53579E+12;9.05976E+12;6.55658E+11;8.73214E+11;1.47982E+12;8.63016E+11;2.74756E+12;43.86666667;1.023176448;4.78734E+12;3.45291E+11;5.84655E+11;3.75071E+11;5.10407E+11;1.05065E+12;6.19788E+12;4.48542E+11;5.97374E+11;1.01236E+12;5.90398E+11;1.87963E+12;146.1752677
2016q01;14025.2;4536.8;1952.6;2093.5;88.2;5.87613E+12;6.40922E+11;6.16287E+11;7.31732E+11;5.78289E+11;1.25245E+12;6.33909E+12;3.25608E+11;8.86145E+11;4.6157E+11;6.55766E+11;2.49314E+12;37.56333333;1.0211403;3.9367E+12;4.29384E+11;4.1288E+11;4.90222E+11;3.87423E+11;8.39073E+11;4.24686E+12;2.18141E+11;5.9367E+11;3.09228E+11;4.39329E+11;1.67027E+12;149.2654567
2016q02;14981.7;4860.6;2068.6;3153.3;133;6.64539E+12;8.42243E+11;7.34263E+11;6.09455E+11;7.17396E+11;1.48885E+12;7.24383E+12;4.69496E+11;5.85367E+11;8.92113E+11;9.30587E+11;2.56196E+12;48.86;1.012048064;4.39906E+12;5.57541E+11;4.86062E+11;4.03442E+11;4.74896E+11;9.85577E+11;4.79521E+12;3.10793E+11;3.87496E+11;5.90553E+11;6.16022E+11;1.69594E+12;151.0638165
2016q03;16188.5;4655.9;2530.6;3666.5;151.9;6.85302E+12;6.53059E+11;7.52564E+11;6.61733E+11;7.98329E+11;1.42772E+12;6.91066E+12;4.48535E+11;4.8164E+11;1.0097E+12;5.77507E+11;2.50976E+12;46.74333333;1.00701;4.50493E+12;4.29298E+11;4.94708E+11;4.34999E+11;5.24793E+11;9.38531E+11;4.54281E+12;2.94851E+11;3.16613E+11;6.63737E+11;3.79632E+11;1.64983E+12;152.1227739
2016q04;16924.2;5159.1;2479.2;5726.5;235.9;8.37218E+12;6.34097E+11;9.15391E+11;6.54739E+11;8.35394E+11;1.86759E+12;1.03952E+13;6.06265E+11;1.82441E+12;1.52644E+12;9.39257E+11;2.91438E+12;52.26;1.012048064;5.43805E+12;4.1187E+11;5.94581E+11;4.25278E+11;5.4262E+11;1.21307E+12;6.75207E+12;3.93792E+11;1.18503E+12;9.91484E+11;6.10083E+11;1.893E+12;153.9555588
2017q01;14093.74007;4857.655147;2274.630738;2202.2;90.2;7.03655E+12;8.51246E+11;6.58384E+11;8.5485E+11;1.02996E+12;1.36342E+12;6.89244E+12;3.38479E+11;7.29289E+11;5.75878E+11;6.89196E+11;3.01692E+12;55.18666667;1.009020012;4.52965E+12;5.47974E+11;4.23822E+11;5.50294E+11;6.63018E+11;8.77674E+11;4.43688E+12;2.17889E+11;4.69466E+11;3.70711E+11;4.43657E+11;1.94209E+12;155.3442398
