"","x"
"1",0.524594918498223
"2",0.482879092050214
"3",0.428596093544242
"4",0.348215017138259
"5",0.53532835979472
"6",0.497638206453218
"7",0.43644328057089
"8",0.381065575597495
"9",0.536414319098
"10",0.502570395918122
"11",0.457689822005641
"12",0.402587623945549
"13",0.54963402807978
"14",0.521098836771224
"15",0.464783483352821
"16",0.39617735770008
"17",0.501440506759799
"18",0.460786630505175
"19",0.470395447281206
"20",0.375225552871462
"21",0.514784313872114
"22",0.480422933880734
"23",0.453300410486836
"24",0.403748545955794
"25",0.536386352236948
"26",0.511641183992278
"27",0.459455655150343
"28",0.408750939796011
"29",0.55468298468737
"30",0.527670051634276
"31",0.466839884042943
"32",0.41959109775667
"33",0.486051569581459
"34",0.474393133110689
"35",0.441773658880038
"36",0.391230308510159
"37",0.522764693177749
"38",0.486567626341021
"39",0.442565611009243
"40",0.397619679972553
"41",0.552329152531466
"42",0.497782186741898
"43",0.453059942040287
"44",0.409577448056098
"45",0.550460840633635
"46",0.521434875204014
"47",0.471147618943151
"48",0.423011440958574
"49",0.504431169669155
"50",0.467366871022758
"51",0.436531682016447
"52",0.377232119518322
"53",0.514943454935903
"54",0.49611982740462
"55",0.446866541258763
"56",0.397181068796772
"57",0.527080734773722
"58",0.518851249146852
"59",0.477350255271724
"60",0.416066676694203
"61",0.544544023140342
"62",0.510629922796876
"63",0.469737060984701
"64",0.429714048424574
"65",0.483970649547115
"66",0.463754584564156
"67",0.438292526288211
"68",0.398605783533923
"69",0.493449580431725
"70",0.508592464694685
"71",0.442411317557297
"72",0.389224328189773
"73",0.547304802331671
"74",0.492787437184174
"75",0.471544454988071
"76",0.421799689014764
"77",0.561067498450994
"78",0.529912321754754
"79",0.479901455431289
"80",0.430416094428343
"81",0.639306503816093
"82",0.659866158703769
"83",0.627893977347613
"84",0.625336887985136
"85",0.6750943484032
"86",0.665805050874951
"87",0.674666947589007
"88",0.639157658113466
"89",0.699269387792765
"90",0.693803874377167
"91",0.689270377676638
"92",0.655672100040041
"93",0.708739300014121
"94",0.714083587794418
"95",0.688571091144579
"96",0.662361263906689
"97",0.648163223682279
"98",0.656106011690442
"99",0.652187626876337
"100",0.621694681874929
"101",0.673538888082419
"102",0.68328048569334
"103",0.654329091847152
"104",0.656761856402939
"105",0.710458126352897
"106",0.697227300649675
"107",0.69318336518279
"108",0.658413152705593
"109",0.716284598472072
"110",0.708196951244292
"111",0.686060111218107
"112",0.667322742303294
"113",0.648718230751313
"114",0.642889696654255
"115",0.655923966888132
"116",0.633391991742846
"117",0.685437135481588
"118",0.659846867966659
"119",0.6540512161428
"120",0.634177291686951
"121",0.696017910396183
"122",0.692574146098233
"123",0.667444408501096
"124",0.652192633933967
"125",0.72923301952525
"126",0.716369726263084
"127",0.688183489961109
"128",0.686188520123482
"129",0.634519837918168
"130",0.636123298795085
"131",0.633469843947117
"132",0.613121891804627
"133",0.672424244775198
"134",0.659304631057688
"135",0.659766988999003
"136",0.636925386000426
"137",0.673521276387461
"138",0.705362230954433
"139",0.701663040195665
"140",0.64337579923487
"141",0.723694048094308
"142",0.727347413221957
