"","X","Brent","M2","USD_RUR","Construction_real_index","Construction_nominal_value","IPC","ICP_prom","Index_prom_O2","Index_dobycha_O2","Index_obrab_O2","Index_energy_O2","Index_water_O2","Index_prom_O1","Index_dobycha_O1","Index_obrab_O1","Index_energy_water_O1","Index_roznica","Roznica_current","Pay_service_to_prev_y","Pay_service_to_prev_period","Opt_current","Budget_in","Tax_pi","Tax_ndfl","Tax_nds","Tax_ndpi","Insurance","Budget_out","Out_general","Out_defense","Out_economy","Out_educ","Out_soc","Budget_in_r","Tax_pi_r","Tax_ndfl_r","Tax_nds_r","Tax_ndpi_r","Insurance_r","Budget_out_r","Out_general_r","Out_defense_r","Out_economy_r","Out_educ_r","Out_soc_r","INDEXDefl"
"31","2006m3",64.6116419498691,6134.77887846075,28.5108186540233,313.072452968303,167.647767187242,100.726527085316,102.1,NA,NA,NA,NA,NA,132.736022860826,125.535997507766,154.192566966286,77.9089741648831,190.053518934644,682.261049316864,107.281751577427,101.011153014368,1587.68470952964,753536293587.144,129824202615.126,70306340792.0535,82435953184.5224,98035407018.4509,32719036937.4248,575841343767.793,69557086742.0797,55242336352.9525,67239278190.0835,77382705412.0585,42527784012.022,1200241519780.52,202030339369.363,112417343876.677,130877730697.473,142878176674.617,47752343626.5096,919201669423.734,108976243512,94253702875.2889,105882567733.673,122539026796.139,64488830264.4421,62.9828592229145
"32","2006m4",69.1721055017084,6347.1165653144,27.6596171773791,312.898695351563,170.437990304765,100.463488767882,100.6,NA,NA,NA,NA,NA,133.050673957518,126.394713680182,154.468692272855,77.1589605532505,193.037112870391,693.938112417875,106.620984803684,100.840406310702,1617.74660271145,735818809934.698,107238381816.207,72820648038.1919,75350899307.3909,94398849364.6093,36280711395.2547,600266024544.677,68721575600.7279,55095696780.9726,70167893511.0332,78700562224.9221,54104867109.5291,1113188842509.34,194344460832.805,114317891678.018,123084606895.607,147320660643.578,47169499116.1816,933341150395.396,94466843149,84567445693.3363,110273744052.81,124243914247.622,86361393124.3605,63.4431841735892
"33","2006m5",67.1019274813332,6660.56877464428,27.1953183232893,314.652336666029,172.108106391107,100.621476810709,101.8,NA,NA,NA,NA,NA,135.273411455655,126.887057688485,159.390977147914,76.4985160489685,195.299779934564,704.099161649604,106.460497175591,100.677212123271,1642.29331144474,817430284323.343,168239382006.136,73701315149.6262,71787688536.434,105999718190.104,37497254493.1956,600881384027.72,66189720298.4162,55624549737.7583,75769176576.6122,80428070040.5055,49887854084.7385,1341681960474.18,227619682296.786,116213239244.108,99885679620.8136,165057552711.523,43470372711.1972,949215382351.98,107757376644,87752200337.4213,121313627650.303,126388290278.392,81063862454.1403,63.7484212739728
"34","2006m6",70.1754094291145,6918.1195983296,27.3230702918857,322.987395308757,178.963340895353,100.476342770636,100.8,NA,NA,NA,NA,NA,134.159014060315,127.413009823477,157.290398369199,75.5377580174584,198.339175017464,716.581511609409,110.010436537083,101.838969045248,1633.61452834764,1883387713682.55,136473577261.751,75557299038.814,74135308927.4131,100825893404.338,528201171447.908,1565110132956.4,68919811660.3173,56709594286.8009,75627304773.8281,84183561087.1746,807804492600.195,2771186045352.88,209532968449.565,118477398914.392,110351686316.038,156577039677.758,840208480927.515,2455616790135.98,114779850509,93784868197.6455,118819475829.132,129418071790.714,1225059099125.81,64.1624991940042
"35","2006m7",72.0980523887087,7208.19994195363,27.2150017211803,327.640535413421,185.242081354866,100.85570411726,101.7,NA,NA,NA,NA,NA,135.082497013398,128.378925380773,158.382089334834,75.6420464944537,200.062503320983,727.485941733355,108.481658545923,100.288239389497,1670.62294146299,280741459442.626,130582643231.514,78033004557.6649,78831207454.4101,101011483177.208,46441949043.1378,146858244082.699,74198519568.7688,55929342891.7326,75335409563.8305,86971799072.1522,72831221582.9271,493985651596.981,209785562211.928,120297924408.316,104498869365.547,151740774113.451,39160572078.6649,180942760075.376,113967502072,82356348438.0452,116263892365.153,131667948054.315,109743551002.062,64.4743556310429
"36","2006m8",67.1618316533815,7465.1638445785,26.5096498332261,333.241812403266,190.624063940248,100.85168996148,102.2,NA,NA,NA,NA,NA,137.251503007386,128.798862290957,162.178488541,76.4302650751753,201.612512496349,740.002414894034,107.38488935333,100.660827287401,1712.98807528926,924910800546.853,161887821941.687,79083519672.6112,80295681331.9975,106067605346.669,137492019772.784,681288897168.892,67784581415.8281,56940797307.3957,78178667587.1974,84315456217.4368,233453993988.35,1474374269044.12,231479723355.651,122521008372.55,124273264396.933,161952007741.577,229034590071.23,1045382010821.8,110033491267,89033606642.1826,120434359309.077,131913473341.584,430181481044.919,65.0191794123768
"37","2006m9",62.0257475438183,7766.53386017893,27.0283978251544,341.550510613875,198.605217832312,100.522204430887,101.4,NA,NA,NA,NA,NA,138.125171228248,128.426297773692,164.329981774315,75.7649837718346,203.498754449599,750.185694487148,108.099731302874,100.688055863604,1732.47534005976,953494783938.789,135209407937.63,81149217777.3839,73713542284.2381,96978003453.0723,139469493131.071,682077224941.911,71880991403.8588,57818076075.5721,80869726236.6941,90359505105.0501,210893190070.633,1485756377978.26,219409889891.945,124824965379.048,118809249376.334,159840102628.368,227560489518.623,1044294163843.3,105831744466,87673029981.0179,124226386209.914,135936009884.65,301077214136.897,65.5723393614391
"38","2006m10",57.9194277869478,7957.68326886341,27.0902937020989,349.306160512103,206.695796153106,100.361703696509,97.2,NA,NA,NA,NA,NA,139.451240477787,128.045534877935,166.460422142103,76.5865764796627,206.827564545292,763.08052656337,110.341183136223,101.377871751258,1668.02088942179,832257226136.139,156134013911.679,83311996064.2258,71564172886.9106,86143119827.795,138308799253.398,712558472897.296,74028029098.6283,58649420626.5858,81672193961.5644,89576452219.1789,194029229199.938,1254584852225.96,229252616272.111,127150196969.295,98384325645.1365,137433835438.782,223251526261.352,1085201320675.35,103039732838,89068205999.1761,123487312505.812,137188755663.899,268549178510.964,65.9199488597032
"39","2006m11",67.5038325922844,8181.47633280375,25.6368873320397,353.423726811038,212.238755276014,100.621563494536,97.5,NA,NA,NA,NA,NA,139.223921251162,129.664321645239,165.420268118664,76.1045540840939,208.726466100615,773.499477079263,109.35123816157,100.41365470936,1712.97617797808,935092641392.561,182941613345.189,84998376910.1299,67829078467.4017,82828282047.9066,139108364938.185,741244879485.956,74156966880.4427,59268265672.7956,85061736474.7331,91954931347.5893,199930128057.361,1451048870909.18,242042503172.278,129581201232.49,110104872825.875,131598095624.271,218440296593.167,1103792362018.45,115970888479,89722215061.7178,127898554533.037,139539606393.74,284230252228.806,66.1630586080084
"40","2006m12",64.1667406694867,8492.8974731729,25.5682947820018,352.801749924134,215.241141511562,100.762224476741,101,NA,NA,NA,NA,NA,139.814944924968,130.131594427199,167.711839153157,74.0262143597213,211.385877017798,789.521890717585,106.556542454435,100.070359260344,1779.61680474929,1023868925596.76,152119357979.176,86653141491.9047,75249002645.5583,94052355985.6952,137537769280.003,747668889987.32,59545120254.7519,58641536533.6421,84999900750.376,94632153926.1614,242237103093.349,1529614637510.11,228558098311.464,132101119938.752,131028787055.49,146169338718.987,212674331753.071,1132971502637.24,90766552947,83574904844.2929,129516259116.268,142425432190.239,426670973908.896,66.5812259350194
