"","GDP_2011","Budget_in_r","Budget_out_r","Out_general_r","Out_defense_r","Out_economy_r","Out_educ_r","Out_soc_r","Brent"
"1",10954.0773974094,2254.47369796489,2046.11700515902,103.826142018359,204.460559842785,147.15144193897,273.935304206067,702.648505764982,29.06
"2",11164.6687652084,2363.15046407301,2180.19824915359,99.4188982885009,209.152915725406,161.709450831242,283.519314621812,835.52945004046,31.6266666666667
"3",11342.2466239065,2598.27055257468,2215.4364660283,120.836099800368,212.738303964011,183.176075117281,287.39268181493,836.467210702467,35.2033333333333
"4",11510.0052612684,2764.08944431416,2265.20420364655,139.197845987719,217.565185484867,210.304174254855,291.49901482343,909.583826295449,42.67
"5",11620.2314153623,2899.08581755185,2347.24258648098,161.520531179707,220.935560156451,244.022162138198,300.172028149859,972.771503757489,44.35
"6",11820.101014983,3195.69583900164,2427.69277134875,262.748253696838,232.417046456973,291.064619233218,314.530219769269,828.059265555026,49.6866666666667
"7",12018.8460270406,3083.77567961647,2392.47121823893,273.32251214324,248.273986693568,312.104558330586,330.593509066134,783.232873754185,51.3366666666667
"8",12215.6442238174,3406.80429694895,2860.15109039406,336.407791350779,263.454838988503,348.559374102588,346.23297772759,839.143515986583,62.98
"9",12468.3417210053,3608.79023272565,2734.37013932862,317.863125313962,276.066044284947,342.465713907506,359.612526159543,838.050679838366,56.8766666666667
"10",12725.5675993366,3775.06689442804,3000.34692543646,327.224362812841,280.181127169536,357.757771499042,373.439450678027,944.372110937849,63.4733333333333
"11",12978.3837722496,4358.77769815318,3426.69772315919,320.255954461148,271.485513750539,366.83170956512,391.584636030256,1143.74995151141,71.4266666666667
"12",13236.9931023446,4132.56258330341,3082.27534134074,313.590862099087,268.743191239432,383.781054016654,409.456217285924,969.270693665604,68.7233333333333
"13",13518.0368352856,4313.3438370788,3428.16914954452,338.727110873869,275.863904794071,404.447503420487,427.363164531916,1015.78613592094,60.5066666666667
"14",13803.3203187507,4423.98679238323,3614.31010952313,320.978009536088,284.956425125025,440.801362661906,447.108686879925,994.561980744797,62.0966666666667
