"","Time","GDP_2011","Ex_2011","Im_2011","Inv_current","Inv_index","Budget_in","Tax_pi","Tax_ndfl","Tax_nds","Tax_ndpi","Insurance","Budget_out","Out_general","Out_defense","Out_economy","Out_educ","Out_soc","Brent","IPC","Budget_in_r","Tax_pi_r","Tax_ndfl_r","Tax_nds_r","Tax_ndpi_r","Insurance_r","Budget_out_r","Out_general_r","Out_defense_r","Out_economy_r","Out_educ_r","Out_soc_r","INDEXDefl"
"1","2003q04",10954.0773974094,3228.06705042876,1198.84269596958,603.169007235659,NA,1073294628208.54,186218858774.65,124564363007.504,248813303252.54,99912258671.7966,14418826027.4737,903633417963.726,41149082119.5942,97592493616.4096,69728506579.9779,130387960237.198,310635829169.209,29.06,1.02823093577484,2254473697964.89,370983158478.924,261441626111.83,502332900135.008,211398559315.213,35901961760.5537,2046117005159.02,103826142018.359,204460559842.785,147151441938.97,273935304206.067,702648505764.982,47.788673403486
"2","2004q01",11164.6687652084,3326.33517365676,1285.64555311655,650.133766754224,NA,1164791198870.26,194623360702.443,132872971126.165,265517570805.795,108732475073.811,5440367472.3835,1058216843507.44,38549440797.0142,102094197738.148,78873481987.3361,138401999653.099,404789303164.353,31.6266666666667,1.02420528160716,2363150464073.01,372590570740.049,272631863834.416,516067882614.361,224487285582.657,8085723096.44622,2180198249153.59,99418898288.5009,209152915725.406,161709450831.242,283519314621.812,835529450040.46,48.7100833230742
"3","2004q02",11342.2466239065,3364.0868779527,1361.81507313213,690.631972620588,NA,1305663442306.69,218371221810.402,137969721078.441,281536590661.235,119435531712.81,-15105467240.506,1104073494143.79,55147145758.5473,106686011174.085,91990260872.1762,144400595424.064,421326887581.131,35.2033333333333,1.03021377675035,2598270552574.68,416754536216.109,275272115023.093,547520068496.194,240736726641.043,-26887935251.6355,2215436466028.3,120836099800.368,212738303964.011,183176075117.281,287392681814.93,836467210702.467,50.004924134472
"4","2004q03",11510.0052612684,3427.60826319095,1429.62342715274,734.740347386103,NA,1432994346859.44,244707681345.463,145676224363.597,291820921690.221,135812823935.921,3276925410.69259,1185046662404.68,60625980196.3202,112376860746.101,108860912084.603,150632551954.09,476641866084.957,42.67,1.03122956037547,2764089444314.16,457482601835,282055059296.839,562963931912.13,261822646238.1,4555535601.27179,2265204203646.55,139197845987.719,217565185484.867,210304174254.855,291499014823.43,909583826295.449,51.6192217461256
"5","2004q04",11620.2314153623,3475.52539608492,1488.18935571481,776.219422145014,NA,1597151950876.05,273959093240.4,152519892083.825,306646307552.563,153130710171.252,26106117741.3684,1245812454146.9,80504283167.8,118086935487.166,130100976043.19,159812895887.191,516987358021.973,44.35,1.03104845638939,2899085817551.85,483874960111.96,286024349297.202,575661297158.14,292128930449.844,46256184372.2726,2347242586480.98,161520531179.707,220935560156.451,244022162138.198,300172028149.859,972771503757.489,53.4502039874193
"6","2005q01",11820.101014983,3481.49138706074,1542.89257039396,822.933429287068,NA,1722777608650.54,310810178813.128,158952187583.236,297599169879.031,180227950797.535,30421573154.3401,1339049250894.14,150472649944.713,128124282817.122,159832533595.344,173008797313.13,440533190503.15,49.6866666666667,1.03413441057143,3195695839001.64,580114999827.419,289072545467.677,549468082018.32,331450872176.822,60118952472.2487,2427692771348.75,262748253696.838,232417046456.973,291064619233.218,314530219769.269,828059265555.026,55.2143712861346
"7","2005q02",12018.8460270406,3609.89769271861,1585.07760687061,865.056984010334,NA,1696411248492.63,322222234099.58,170308054383.335,256409792494.707,203943301499.678,53445748018.4312,1317184883585.99,171014520058.236,140509933329.59,176091363840.476,186986100876.104,447223492303.457,51.3366666666667,1.02790242911825,3083775679616.47,533717177529.781,300652231131.498,457002604711.338,368653193034.584,94204958633.0038,2392471218238.93,273322512143.24,248273986693.568,312104558330.586,330593509066.134,783232873754.185,56.6251031518073
"8","2005q03",12215.6442238174,3646.04164126219,1697.68603932226,924.70139657809,NA,2062347904854.46,338211973061.255,180483673501.303,222744639837.813,238057965604.09,87923907426.2488,1714675761031.74,196633020311.582,152829822588.53,202156425385.284,200429005679.867,488428252529.302,62.98,1.02325058216944,3406804296948.95,574575488625.224,311246183345.97,385205746799.622,411868089043.504,144159436582.641,2860151090394.06,336407791350.779,263454838988.503,348559374102.588,346232977727.59,839143515986.583,57.8759376679335
"9","2005q04",12468.3417210053,3725.81191334229,1766.43038013296,972.244841194384,NA,2047126352194.69,358946458945.909,194118184046.73,223726730850.515,258997167545.717,116407475242.907,1588816562463.23,201853267951.303,163734460413.061,202564072322.441,213252390614.466,496295511945.1,56.8766666666667,1.02342649114293,3608790232725.65,594990163432.982,327717927834.754,378529266213.074,441247797775.906,183465685860.679,2734370139328.62,317863125313.962,276066044284.947,342465713907.506,359612526159.543,838050679838.366,59.2858080291419
"10","2006q01",12725.5675993366,3827.79143162773,1846.08970922532,1043.81841262287,NA,2341633966240.36,369665284540.334,207204672525.103,228086738890.516,282289170895.665,224393477379.895,1827464328805.81,186556400543.773,170026566289.939,217763280276.063,226994570414.431,591477864342.403,63.4733333333333,1.02529398394101,3775066894428.04,581914853518.993,340112318856.002,375377914317.587,459969421388.545,357323531169.141,3000346925436.46,327224362812.841,280181127169.536,357757771499.042,373439450678.027,944372110937.849,60.8390410608989
